;IDENT;LCOMM;NDEPT
366;20000216000014;CUISLES;51
454;20000378800011;PAPEETE;161
649;20000707800013;MORBIER;39
651;20000710200011;FROHEN SUR AUTHIE;80
691;20000783900018;GRAIGNES MESNIL ANGOT;50
695;20000791200013;FAAA;161
732;20000871200016;ACOUA;106
733;20000872000019;BANDRABOUA;106
734;20000873800011;BANDRELE;106
735;20000874600014;BOUENI;106
736;20000875300010;CHICONI;106
737;20000877900015;CHIRONGUI;106
740;20000878700018;DEMBENI;106
741;20000879500011;DZAOUDZI;106
742;20000880300013;KANI KELI;106
743;20000881100016;KOUNGOU;106
744;20000882900018;M'TSANGAMOUJI;106
745;20000883700011;MAMOUDZOU;106
747;20000884500014;MTSAMBORO;106
748;20000885200010;OUANGANI;106
749;20000886000013;PAMANDZI;106
750;20000887800015;SADA;106
751;20000888600018;TSINGONI;106
776;20000959500014;GUITALENS L ALBAREDE;81
870;20001106200011;ST SYMPHORIEN;35
980;20001244100016;MATA UTU;163
981;20001245800010;LEAVA;163
982;20001246600013;LEAVA;163
985;20001250800012;NOUMEA;162
992;20001253200012;MONT-DORE (LE );162
999;20001256500012;DUMBEA;162
1005;20001259900011;PAITA;162
1007;20001260700012;ILE-DES-PINS (L' );162
1010;20001261500015;YATE;162
1016;20001266400013;BELEP;162
1019;20001267200016;KAALA-GOMEN;162
1026;20001270600012;KONE;162
1027;20001272200019;KOUMAC;162
1033;20001273000012;OUEGOA;162
1036;20001274800014;POUEMBOUT;162
1038;20001275500019;POUM;162
1042;20001276300013;POYA;162
1046;20001278900018;VOH;162
1056;20001285400010;POINDIMIE;162
1058;20001286200013;CANALA;162
1062;20001287000016;HIENGHENE;162
1066;20001289600011;HOUAILOU;162
1070;20001290400013;KOUAOUA;162
1075;20001292000019;PONERIHOUEN;162
1079;20001293800011;POUEBO;162
1082;20001294600014;TOUHO;162
1088;20001299500011;LIFOU;162
1093;20001302700012;MARE;162
1116;20001306800016;OUVEA;162
1118;20001307600019;BOURAIL;162
1124;20001309200016;BOULOUPARI;162
1128;20001310000017;FARINO;162
1131;20001311800019;LA FOA;162
1135;20001312600012;MOINDOU;162
1138;20001313400016;SARRAMEA;162
1142;20001314200019;THIO;162
1181;20001337300010;RANGIROA;161
1184;20001338100013;NUKU HIVA;161
1188;20001339900015;TUBUAI;161
1190;20001340700016;ANAA;161
1193;20001341500019;ARUTUA;161
1197;20001342300013;FAKARAVA;161
1201;20001343100016;FANGATAU;161
1203;20001344900018;GAMBIER;161
1209;20001345600013;HAO;161
1212;20001346400017;HIKUERU;161
1214;20001347200010;MAKEMO;161
1216;20001348000013;MANIHI;161
1220;20001349800015;NAPUKA;161
